,Team,Year,Attendance,League,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG
0,ATL,1990,980129.0,NL,682,821,65,0.311,0.396,0.25,0,,,162,,
1,BAL,1990,2415189.0,AL,669,698,76,0.33,0.37,0.245,0,,,161,,
2,BOS,1990,2528986.0,AL,699,664,88,0.344,0.395,0.272,1,4.0,3.0,162,,
3,CHC,1990,2243791.0,NL,690,774,77,0.314,0.392,0.263,0,,,162,,
4,CHW,1990,2002357.0,AL,682,633,94,0.32,0.379,0.258,0,,,162,,
5,CIN,1990,2400892.0,NL,693,597,91,0.325,0.399,0.265,1,3.0,1.0,162,,
6,CLE,1990,1225240.0,AL,732,737,77,0.324,0.391,0.267,0,,,162,,
7,DET,1990,1495785.0,AL,750,754,79,0.337,0.409,0.259,0,,,162,,
8,HOU,1990,1310927.0,NL,573,656,75,0.313,0.345,0.242,0,,,162,,
9,KCR,1990,2244956.0,AL,707,709,75,0.328,0.395,0.267,0,,,161,,
10,LAD,1990,3002369.0,NL,728,685,86,0.328,0.382,0.262,0,,,162,,
11,MIL,1990,1752900.0,AL,732,760,74,0.32,0.384,0.256,0,,,162,,
12,MIN,1990,1751584.0,AL,666,729,74,0.324,0.385,0.265,0,,,162,,
13,NYM,1990,2732745.0,NL,775,613,91,0.323,0.408,0.256,0,,,162,,
14,NYY,1990,2006436.0,AL,603,749,67,0.3,0.366,0.241,0,,,162,,
15,OAK,1990,2900217.0,AL,733,570,103,0.336,0.391,0.254,1,1.0,2.0,162,,
16,PHI,1990,1992484.0,NL,646,729,77,0.327,0.363,0.255,0,,,162,,
17,PIT,1990,2049908.0,NL,733,619,95,0.33,0.405,0.259,1,2.0,3.0,162,,
18,SDP,1990,1856396.0,NL,673,673,75,0.32,0.38,0.257,0,,,162,,
19,SEA,1990,1509727.0,AL,640,680,77,0.333,0.373,0.259,0,,,162,,
20,SFG,1990,1975528.0,NL,719,710,85,0.323,0.396,0.262,0,,,162,,
21,STL,1990,2573225.0,NL,599,698,70,0.32,0.358,0.256,0,,,162,,
22,TEX,1990,2057911.0,AL,676,696,83,0.331,0.376,0.259,0,,,162,,
23,TOR,1990,3885284.0,AL,767,661,86,0.328,0.419,0.265,0,,,162,,
24,ATL,1991,2140217.0,NL,749,644,94,0.328,0.393,0.258,1,3.0,2.0,162,,
25,BAL,1991,2552753.0,AL,686,796,67,0.319,0.401,0.254,0,,,162,,
26,BOS,1991,2532435.0,AL,731,712,84,0.34,0.401,0.269,0,,,162,,
27,CHC,1991,2314250.0,NL,695,734,77,0.309,0.39,0.253,0,,,160,,
28,CHW,1991,2934154.0,AL,758,681,87,0.336,0.391,0.262,0,,,162,,
29,CIN,1991,2372377.0,NL,689,691,74,0.32,0.403,0.258,0,,,162,,
30,CLE,1991,1051863.0,AL,576,759,57,0.313,0.35,0.254,0,,,162,,
31,DET,1991,1641661.0,AL,817,794,84,0.333,0.416,0.247,0,,,162,,
32,HOU,1991,1196152.0,NL,605,717,65,0.309,0.347,0.244,0,,,162,,
33,KCR,1991,2161537.0,AL,727,722,82,0.328,0.394,0.264,0,,,162,,
34,MIL,1991,1478729.0,AL,799,744,83,0.336,0.396,0.271,0,,,162,,
35,MIN,1991,2293842.0,AL,776,652,95,0.344,0.42,0.28,1,2.0,1.0,162,,
36,NYM,1991,2284484.0,NL,640,646,77,0.317,0.365,0.244,0,,,161,,
37,NYY,1991,1863733.0,AL,674,777,71,0.316,0.387,0.256,0,,,162,,
38,OAK,1991,2713493.0,AL,760,776,84,0.331,0.389,0.248,0,,,162,,
39,PHI,1991,2050012.0,NL,629,680,78,0.303,0.358,0.241,0,,,162,,
40,PIT,1991,2065302.0,NL,768,632,98,0.338,0.398,0.263,1,1.0,3.0,162,,
41,SDP,1991,1804289.0,NL,636,646,84,0.31,0.362,0.244,0,,,162,,
42,SEA,1991,2147905.0,AL,702,674,83,0.328,0.383,0.255,0,,,162,,
43,SFG,1991,1737478.0,NL,649,697,75,0.309,0.381,0.246,0,,,162,,
44,STL,1991,2448699.0,NL,651,648,84,0.322,0.357,0.255,0,,,162,,
45,TEX,1991,2297720.0,AL,829,814,85,0.341,0.424,0.27,0,,,162,,
46,TOR,1991,4001527.0,AL,684,622,91,0.322,0.4,0.257,1,4.0,3.0,162,,
47,ATL,1992,3077400.0,NL,682,569,98,0.316,0.388,0.254,1,1.0,2.0,162,,
48,BAL,1992,3567819.0,AL,705,656,89,0.34,0.398,0.259,0,,,162,,
49,BOS,1992,2468574.0,AL,599,669,73,0.321,0.347,0.246,0,,,162,,
50,CHC,1992,2126720.0,NL,593,624,78,0.307,0.364,0.254,0,,,162,,
51,CHW,1992,2681156.0,AL,738,690,86,0.336,0.383,0.261,0,,,162,,
52,CIN,1992,2315946.0,NL,660,609,90,0.328,0.382,0.26,0,,,162,,
53,CLE,1992,1224094.0,AL,674,746,76,0.323,0.383,0.266,0,,,162,,
54,DET,1992,1423963.0,AL,791,794,75,0.337,0.407,0.256,0,,,162,,
55,HOU,1992,1211412.0,NL,608,668,81,0.313,0.359,0.246,0,,,162,,
